course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Applied Electronics & Instrumentation,KKE,"Government Engineering College, Kozhikkode",G,11530,17344,14099,46014,48210,15918,15676,41092,47064,-,62150,-,36579,FW:10197,1
Applied Electronics & Instrumentation,TVE,"College of Engineering, Thiruvananthapuram",G,1885,2889,2315,3601,12340,2108,2070,7721,2637,30093,23310,-,5988,FW:1618,1
Applied Electronics & Instrumentation,RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,17309,21632,21127,29833,51244,63871,26305,-,-,-,64859,-,-,FW:14565,1
B.Tech. (Agrl. Engg.),KCT,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",G,16371,19141,18624,25909,25244,18341,18187,-,29726,-,45138,61142,50472,PT:36,1
Artificial Intelligence and Machine Learning,MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,5243,6448,6185,7460,16570,5611,5517,-,-,18649,29102,-,-,FW:3884,1
Artificial Intelligence and Machine Learning,AAE,"Al-Azhar College of Engineering and Technology, Idukki",S,64221,-,-,-,-,-,-,-,-,-,-,-,-,,1
Artificial Intelligence and Machine Learning,ATP,"Ahalia School of Engineering and Technology, Palakkad",S,52752,60236,57660,-,-,-,53048,-,-,-,54060,-,-,,1
Artificial Intelligence and Machine Learning,CCV,"MGM TECHNOLOGICAL CAMPUS,Valanchery",S,67454,-,-,-,-,-,-,-,-,-,-,-,-,FW:67031,1
Artificial Intelligence and Machine Learning,CEN,"College of Engineering and Technology, Payyanur",S,55914,61341,56926,-,-,-,56741,-,-,-,-,-,-,FW:46140,1
Artificial Intelligence and Machine Learning,GIK,"Gregorian Institute of Technology,Kanjirampara,Kottayam",S,64500,-,-,-,-,-,-,-,-,-,-,-,-,,1
Artificial Intelligence and Machine Learning,IGW,"Indira Gandhi Institute of Engineering and Technology, Ernakulam",S,53307,65956,60531,56844,67076,-,63426,-,-,-,-,-,-,FW:24893,1
Artificial Intelligence and Machine Learning,JBT,"Jai Bharath College of Management and Engineering Technology, Ernakulam",S,65780,-,-,-,-,-,-,-,-,-,-,-,-,FW:59886,1
Artificial Intelligence and Machine Learning,MCE,"Marian Engineering College, Thiruvananthapuram",S,37343,42693,47525,38033,-,-,43377,47523,-,-,-,-,-,FW:29428,2
Artificial Intelligence and Machine Learning,MCT,"Mohandas College of Engineering and Technology, Thiruvananthapuram",S,53989,59803,59426,57117,-,65374,56059,-,-,-,-,-,-,FW:45349,2
Artificial Intelligence and Machine Learning,MEC,"Malabar College of Engineering and Technology, Thrissur",S,65943,-,-,-,-,-,66953,-,-,-,-,-,-,,2
Artificial Intelligence and Machine Learning,MGE,"MGM College of Engineering & Technology, Ernakulam",S,66351,-,-,-,-,-,-,-,-,-,-,-,-,,2
Artificial Intelligence and Machine Learning,MHP,"ACE College Of Engineering, Thiruvananthapuram",S,49594,63610,52832,54130,-,-,55467,58637,-,-,67296,-,-,FW:33955,2
Artificial Intelligence and Machine Learning,MLM,"Mangalam College of Engineering, Kottayam",S,57875,63750,-,-,-,-,-,-,-,-,67261,-,-,FW:38850,2
Artificial Intelligence and Machine Learning,PAA,"P A Aziz College of Engineering and Technology, Thiruvananthapuram",S,66706,-,-,-,-,-,-,-,-,-,-,-,-,,2
Artificial Intelligence and Machine Learning,SNG,"Sree Narayana Gurukulam College of Engineering, Ernakulam",S,44138,47362,54180,-,60078,-,54128,-,-,-,65694,-,-,FW:29096,2
Artificial Intelligence and Machine Learning,VAS,"Vidya Academy of Science and Technology, Thrissur",S,32110,36445,38895,66169,42760,40801,33671,-,-,-,66221,-,49262,FW:22802,2
Artificial Intelligence and Machine Learning,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",S,66433,-,-,-,-,-,-,-,-,-,-,-,-,FW:52789,2
Cyber Physical Systems,TCR,"Government Engineering College, Thrissur",G,7088,9203,8497,15700,20033,11812,9709,18346,35892,51821,36876,-,15334,FW:4343,2
Civil Engineering,KKE,"Government Engineering College, Kozhikkode",G,12998,19951,16470,38628,32701,20191,18040,18336,30513,-,47867,29061,35251,FW:10533,2
Civil Engineering,KNR,"Government College of Engineering, Kannur",G,12780,17817,16338,32579,18699,17254,17730,26360,-,-,48835,48823,32587,FW:10376,3
Civil Engineering,KTE,"Government Rajiv Gandhi Institute of Technology, Kottayam",G,13080,14531,14430,24582,52699,14269,14560,14173,31511,-,41180,53974,22978,"CC:26, FW:10273",3
Civil Engineering,MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,13132,15422,15099,29275,44162,17115,17392,17151,44564,43775,49461,61172,-,FW:11511,3
Civil Engineering,NSS,"N S S College of Engineering, Palakkad",G,13129,19904,16534,37278,51396,20034,17963,19122,32466,-,49400,60625,29015,FW:11292,3
Civil Engineering,PKD,"Government Engineering College, Palakkad",G,12140,18257,16331,43928,44369,20291,19724,22864,36863,-,46718,42167,39597,FW:13045,3
Civil Engineering,TCR,"Government Engineering College, Thrissur",G,8797,10069,9362,21723,28231,9996,9885,17189,15104,45725,28271,50130,16402,"FW:6719, SD:18994, XS:9324",3
Civil Engineering,TKM,"T K M College of Engineering, Kollam",G,9896,11775,10690,18382,37246,12309,11916,15210,19555,58070,34595,54949,-,"FW:7634, SD:40916",3
Civil Engineering,TRV,"Government Engineering College Barton Hill, Thiruvananthapuram",G,11459,13000,12527,19769,41816,14542,12962,14677,-,56198,35885,54542,18329,FW:8368,3
Civil Engineering,TVE,"College of Engineering, Thiruvananthapuram",G,5059,6642,5977,9716,21976,6541,5808,8021,14388,12328,23164,43744,12090,"CC:13, FW:3592, PI:8, RP:7724, SD:14753, XS:6121",3
Civil Engineering,AEC,"College of Engineering of Aranmula, Pathanamthitta",N,63849,64926,-,-,-,-,-,-,-,-,66445,-,-,,3
Civil Engineering,CEM,"College of Engineering Muttathara, Thiruvananthapuram",N,37280,45572,40117,44294,-,45315,44553,-,-,-,60568,66261,63059,,3
Civil Engineering,KGR,"College of Engineering Kidangoor, KOTTAYAM",N,36409,49240,53471,56760,56744,39768,43054,-,-,-,65893,64219,49125,,3
Civil Engineering,KSD,"LBS College of Engineering, Kasaragod",N,38554,45028,43988,-,-,44780,39061,66140,-,-,-,64414,41699,"FW:27615, MG:50440",3
Civil Engineering,LBT,"LBS Institute of Technology for Women, Thiruvananthapuram",N,20897,22661,23870,28341,-,21681,29737,-,-,-,52231,58391,48535,"FW:16434, MG:31451",3
Civil Engineering,PEC,"College of Engineering Pathanapuram, Kollam",N,52331,55990,57565,59888,63411,52713,62351,63845,-,-,61983,-,54294,,3
Civil Engineering,PRP,College of Engineering and Management Punnnapra,N,60649,-,66199,-,-,-,66510,62732,-,-,63197,65189,-,,3
Civil Engineering,TKR,"College of Engineering, Trikaripur",N,47874,55434,57808,-,-,50351,48932,-,-,-,58122,-,58943,FW:30643,3
Civil Engineering,TLY,"College of Engineering,Thalassery, Kannur",N,30632,36808,38208,-,-,31822,31765,-,49140,-,67298,-,58257,FW:20473,3
Civil Engineering,VDA,"College of Engineering, Vadakara",N,43989,50286,47147,-,-,47957,49105,47865,-,-,57042,65266,66078,FW:21961,3
Civil Engineering,AAE,"Al-Azhar College of Engineering and Technology, Idukki",S,64747,-,-,-,-,-,-,-,-,-,-,-,-,,3
Civil Engineering,AAP,"Al-Ameen Engineering College, Palakkad",S,65529,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,AIK,"Albertian Institute of Science and Technology, Kochi",S,66413,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,AJC,"Amal Jyothi College of Engineering, Kottayam",S,44159,61237,47830,-,-,44328,63100,-,-,-,-,-,-,FW:35122,4
Civil Engineering,AME,"Rajadhani Institute of Science and Technology, Palakkad",S,62486,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,ASI,"Adi Shankara Institute of Engineering and Technology, Ernakulam",S,51122,59188,59562,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,ATP,"Ahalia School of Engineering and Technology, Palakkad",S,67429,-,-,-,-,-,-,-,-,-,-,-,-,FW:57855,4
Civil Engineering,AWH,"AWH Engineering College, Kozhikkode",S,58765,64477,66112,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,BJK,"Bishop Jerome Institute, Kollam",S,49351,55603,58049,57259,-,-,-,-,-,-,-,-,-,FW:40633,4
Civil Engineering,BMC,"Baselios Mathews II College of Engineering, Kollam",S,65471,-,-,-,-,-,-,-,-,-,-,-,-,FW:35871,4
Civil Engineering,CCE,"Christ College of Engineering, Thrissur",S,34798,39827,39379,-,54679,55764,41302,62626,-,-,58967,-,-,FW:24132,4
Civil Engineering,CEN,"College of Engineering and Technology, Payyanur",S,60549,-,62508,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,CMA,"Carmel College of Engineering and Technology,Alappuzha",S,63706,-,-,-,-,-,-,-,-,-,-,-,-,FW:48173,4
Civil Engineering,DMC,"M. Dasan Institute of Technology, Kozhikode",S,67104,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,EKC,"Eranad Knowledge City Technical Campus, Malappuram",S,66640,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,FIT,"Federal Institute of Science and Technology, Ernakulam",S,32506,38612,37091,44192,57922,35121,34981,48591,-,43860,65207,-,52155,FW:25098,4
Civil Engineering,HGW,"Holy Grace Academy of Engineering, Thrissur",S,65443,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,ICE,"Ilahia College of Engineering and Technology, Ernakulam",S,57053,-,64021,-,-,-,-,-,-,-,-,-,-,FW:33241,4
Civil Engineering,IES,"I E S College of Engineering, Thrissur",S,66198,-,-,-,-,-,-,-,-,-,-,-,-,FW:46403,4
Civil Engineering,IGW,"Indira Gandhi Institute of Engineering and Technology, Ernakulam",S,62608,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,JBT,"Jai Bharath College of Management and Engineering Technology, Ernakulam",S,65886,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,JEC,"Jyothi Engineering College, Thrissur",S,46744,57555,60143,-,-,-,-,-,-,-,66675,-,-,FW:38736,5
Civil Engineering,JIT,"John Cox Memorial C S I Institute of Technology, Thiruvananthapuram",S,67130,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,KIT,"Kottayam Institute of Technology and Science, Kottayam",S,49434,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,KMC,"KMCT College of Engineering, Kozhikode",S,53768,56667,57834,-,-,-,65785,-,-,-,-,-,-,,5
Civil Engineering,KME,"K M E A Engineering College, Cochin",S,64897,-,-,-,-,-,-,-,-,-,-,-,-,FW:56541,5
Civil Engineering,KMW,"KMCT College of Engineering for Women, Kozhikode",S,66734,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,LMC,"Lourdes Matha College of Science and Technology, Thiruvananthapuram",S,54304,63759,60597,66650,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MBC,"Mar Baselios Christian College of Engineering and Technology,Idukki",S,62311,-,-,-,-,-,-,-,-,-,64605,-,-,,5
Civil Engineering,MBI,"Mar Baselios Institute of Technology and Science, Ernakulam",S,39102,56767,40450,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MBT,"Mar Baselios College of Engineering and Technology, Thiruvananthapuram",S,38008,51679,52643,43893,-,39110,39859,42870,40227,-,67377,58583,-,FW:30960,5
Civil Engineering,MCC,"Musaliar College Of Engineering, Thiruvananthapuram",S,-,-,-,-,-,-,-,-,-,-,-,-,-,FW:66975,5
Civil Engineering,MCE,"Marian Engineering College, Thiruvananthapuram",S,49558,56568,56079,51291,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MCK,"Musaliar College of Engineering and Technology, Pathanamthitta",S,63833,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MCT,"Mohandas College of Engineering and Technology, Thiruvananthapuram",S,63039,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MEA,"M E A Engineering College, Vengoor",S,38765,-,40689,-,-,-,-,-,-,-,-,-,-,FW:28321,5
Civil Engineering,MEE,"MES College of Engineering and Technology, Ernakulam",S,64748,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MEK,"MES Institute of Technology and Management, Kollam",S,60684,66988,62755,-,-,-,-,-,-,-,-,-,-,FW:37955,6
Civil Engineering,MES,"M E S College of Engineering, Kuttippuram",S,34711,49555,36793,-,-,56064,62050,-,-,-,64408,-,-,FW:26788,6
Civil Engineering,MET,"Mets School of Engineering, Thrissur",S,51917,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MGP,"Saintgits College of Engineering, Kottayam",S,41869,51736,55536,60155,-,-,44737,57308,-,-,63391,-,-,FW:32653,6
Civil Engineering,MHP,"ACE College Of Engineering, Thiruvananthapuram",S,62483,-,66127,66174,-,-,66915,-,-,-,-,-,-,,6
Civil Engineering,MLM,"Mangalam College of Engineering, Kottayam",S,63123,-,-,-,-,-,-,-,-,-,-,-,-,FW:51009,6
Civil Engineering,MLT,"Malabar Institute of Technology, Kannur",S,64238,-,64566,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MUS,"Muslim Association College of Engineering, Thiruvananthapuram",S,67102,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MUT,"Muthoot Institute of Technology and Science,Ernakulam",S,27192,31207,28500,45784,53628,-,29954,-,-,55123,64587,-,44728,FW:24211,6
Civil Engineering,MZC,"Mount Zion College of Engineering, Pathanamthitta",S,51742,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,NIE,"Nirmala College of Engineering Technology and Management, Thirissur",S,63879,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,PRC,"Providence College of Engineering, Chengannur",S,64538,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,RCE,"Royal College of Engineering and Technology, Thrissur",S,65011,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,21260,21930,24903,33773,-,-,23974,-,-,-,58142,63399,-,FW:18008,6
Civil Engineering,RIE,"Rajadhani Institute of Engineering and Technology, Thiruvananthapuram",S,47928,49452,48286,63291,-,-,-,-,-,-,-,-,-,FW:47643,6
Civil Engineering,SBC,"Sree Buddha College of Engineering, Alappuzha",S,62798,-,66040,-,-,-,66177,-,-,-,-,-,-,,6
Civil Engineering,SCM,"SCMS School of Engineering and Technology, Ernakulam",S,41162,51843,43285,-,-,-,61652,-,-,-,62128,-,-,,6
Civil Engineering,SHR,"Sahrdaya College of Engineering and Technology, Thrissur",S,41119,51137,46538,-,-,-,-,-,-,-,-,-,-,FW:20628,6
Civil Engineering,SIT,"Sarabhai Institute of Science and Technology, Thiruvananthapuram",S,65198,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SJC,"St Josephs College of Engineering and Technology, Palai",S,40803,-,45517,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNC,"Sree Narayana Guru College of Engineering and Technology, Kannur",S,58634,63198,60721,-,-,60256,59933,-,-,-,-,-,-,,7
Civil Engineering,SNG,"Sree Narayana Gurukulam College of Engineering, Ernakulam",S,65972,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNM,"SNM Institute of Management and Technology, Ernakulam",S,56498,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNP,"Sree Narayana Institute of Technology, Adoor",S,58003,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SPT,"Sreepathy Institute of Management and Technology, Palakkad",S,57171,-,-,-,-,-,58535,-,-,-,-,-,-,,7
Civil Engineering,STC,"St Thomas Colllege of Engineering and Technology, Alappuzha",S,66929,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STI,"St. Thomas Institute For Science and Technology, Thiruvananthapuram",S,67256,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STM,"St.Thomas College of Engineering and Technology,Kannur",S,60104,60901,61585,-,-,-,-,-,-,-,-,-,-,FW:49063,7
Civil Engineering,TCE,"TOMS College of Engineering,Kottayam",S,65141,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,TCT,"Trinity College of Engineering, Thiruvananthapuram",S,65402,-,-,-,-,-,-,67115,-,-,-,-,-,FW:32713,7
