course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Applied Electronics & Instrumentation,KKE,"Government Engineering College, Kozhikkode",G,9347,14245,11681,39051,54377,15026,19454,60124,-,-,58970,-,30308,"FW:8302, SD:13549",1
Applied Electronics & Instrumentation,TVE,"College of Engineering,Thiruvananthapuram.",G,1683,2541,2010,4293,6824,4171,1906,3878,17337,47092,17440,55227,5985,FW:1128,1
Applied Electronics & Instrumentation,RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,16028,20484,17091,22401,-,21048,20632,-,-,-,63887,-,-,"FW:13827, YN:22655",1
B.Tech. (Agricultural Engg.),KCT,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",G,17999,21080,21316,56777,34855,26293,38448,64860,-,-,45614,47307,40711,SD:53483,1
Artificial Intelligence and Machine Learning,MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,5743,6709,6009,12375,21628,8262,7373,-,-,29083,29207,27546,-,FW:4442,1
Artificial Intelligence and Machine Learning,AAE,"Al-Azhar College of Engineering and Technology, Idukki",S,64249,-,-,-,-,-,-,-,-,-,-,-,-,FW:47430,1
Artificial Intelligence and Machine Learning,ATP,"Ahalia School of Engineering and Technology, Palakkad",S,61681,-,63644,-,-,62973,-,-,-,-,64961,-,-,FW:36227,1
Artificial Intelligence and Machine Learning,CEN,"College of Engineering and Technology, Payyannur, Kannur.",S,63706,-,-,-,-,-,-,-,-,-,-,-,-,FW:38689,1
Artificial Intelligence and Machine Learning,DMC,"M. Dasan Institute of Technology, Kozhikode",S,62859,-,-,-,-,-,-,-,-,-,-,-,-,,1
Artificial Intelligence and Machine Learning,GIK,"Gregorian Institute of Technology,Kanjirampara,Kottayam",S,61280,-,-,-,-,-,-,-,-,-,-,-,-,FW:62053,1
Artificial Intelligence and Machine Learning,IGW,"Indira Gandhi Institute of Engineering and Technology, Ernakulam",S,64518,-,-,-,-,-,-,-,-,-,-,-,-,FW:51408,1
Artificial Intelligence and Machine Learning,JBT,"Jai Bharath College of Management and Engineering Technology, Ernakulam",S,62865,-,-,-,-,-,-,-,-,-,-,-,-,,1
Artificial Intelligence and Machine Learning,MCE,"Marian Engineering College, Thiruvananthapuram",S,42326,43858,46498,43779,-,-,45481,-,-,-,64559,-,-,"FW:22875, YJ:62465",2
Artificial Intelligence and Machine Learning,MCT,"Mohandas College of Engineering and Technology, Thiruvananthapuram",S,62070,-,64764,-,-,-,64080,-,-,-,-,-,-,FW:47972,2
Artificial Intelligence and Machine Learning,MEC,"Malabar College of Engineering and Technology, Thrissur",S,56270,-,-,-,-,-,-,-,-,-,-,-,-,,2
Artificial Intelligence and Machine Learning,MHP,"ACE College Of Engineering, Thiruvananthapuram",S,54838,61657,62135,61390,-,-,63402,57181,-,-,-,-,-,"FW:29949, MM:18910",2
Artificial Intelligence and Machine Learning,MLM,"Mangalam College of Engineering, Kottayam",S,65023,-,-,-,-,-,-,-,-,-,-,-,-,FW:50005,2
Artificial Intelligence and Machine Learning,PAA,"P A Aziz College of Engineering and Technology, Thiruvananthapuram",S,63893,-,-,-,-,-,-,-,-,-,-,-,-,,2
Artificial Intelligence and Machine Learning,SNG,"Sree Narayana Gurukulam College of Engineering, Ernakulam",S,56776,57983,-,-,-,-,-,-,-,-,-,-,-,FW:20469,2
Artificial Intelligence and Machine Learning,SNP,"Sree Narayana Institute of Technology, Adoor",S,63177,-,-,-,-,-,-,-,-,-,-,-,-,FW:62253,2
Artificial Intelligence and Machine Learning,VAS,"Vidya Academy of Science and Technology, Thrissur",S,40178,43184,57266,-,52546,40723,49236,-,-,-,54221,-,53661,FW:26120,2
Artificial Intelligence and Machine Learning,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",S,64938,-,-,-,-,-,-,-,-,-,-,-,-,FW:55148,2
B.Tech Agriculture Engineering,KCT,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",G,19265,23442,25253,49282,28548,28989,19758,-,-,-,48996,60446,51960,,2
B.Tech Agriculture Engineering,ICE,"Ilahia College of Engineering and Technology, Ernakulam",S,59254,-,-,-,-,-,-,-,-,-,-,-,-,,2
B.Tech Agriculture Engineering,JCE,"Jawaharlal College of Engineering and Technology, Palakkad",S,64614,-,-,-,-,-,-,-,-,-,-,-,-,,2
B.Tech Agriculture Engineering,PAA,"P A Aziz College of Engineering and Technology, Thiruvananthapuram",S,65282,-,-,-,-,-,-,-,-,-,-,-,-,,2
B.Tech Agriculture Engineering,STC,"St Thomas Colllege of Engineering and Technology, Alappuzha",S,63806,-,-,-,-,-,-,-,-,-,-,-,-,,3
Cyber Physical Systems,TCR,"Govt. Engineering College,Thrissur.",G,6865,8861,8052,17684,19050,9053,9303,26058,26041,58843,36294,-,16917,"FW:4827, PD:60574",3
Cyber Physical Systems,PTA,"College of Engineering, Kallooppara, Thiruvalla",N,63971,-,-,-,-,-,-,-,-,-,65250,-,-,MG:56972,3
Cyber Physical Systems,SHR,"Sahrdaya College of Engineering and Technology, Thrissur",S,61945,-,-,-,-,-,-,-,-,-,-,-,-,,3
Civil Engineering,KKE,"Government Engineering College, Kozhikkode",G,11788,16043,14255,30329,27835,12615,13185,16652,53942,47343,38875,48077,25559,FW:7134,3
Civil Engineering,KNR,"Government College of Engineering, Kannur",G,11535,16794,14483,43926,33746,13355,16252,38268,48559,-,44476,38362,23998,FW:7337,3
Civil Engineering,KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",G,11841,13573,13035,20636,25658,13936,15180,15511,32727,38237,35079,60958,17938,FW:9029,3
Civil Engineering,MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,11829,13833,12895,24651,32024,13977,15233,26154,33182,29451,43253,61172,-,FW:9528,3
