college_code,college_name,college_type,district,course_code,course_name,course_type
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,CE,Civil Engineering,
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,CS,Computer Science & Engineering,
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,EC,Electronics & Communication Engineering,
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,EE,Electrical & Electronics Engineering,
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,ME,Mechanical Engineering,
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,IE,Industrial Engineering,
TRV,"College of Engineering, Trivandrum (CET)",Government,Thiruvananthapuram,AR,Architecture,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,CE,Civil Engineering,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,CS,Computer Science & Engineering,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,EC,Electronics & Communication Engineering,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,EE,Electrical & Electronics Engineering,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,ME,Mechanical Engineering,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,CH,Chemical Engineering,
TCR,"Government Engineering College, Thrissur (GECT)",Government,Thrissur,PE,Production Engineering,
KTE,"Rajiv Gandhi Institute of Technology (RIT), Kottayam",Government,Kottayam,CE,Civil Engineering,
KTE,"Rajiv Gandhi Institute of Technology (RIT), Kottayam",Government,Kottayam,CS,Computer Science & Engineering,
KTE,"Rajiv Gandhi Institute of Technology (RIT), Kottayam",Government,Kottayam,EC,Electronics & Communication Engineering,
KTE,"Rajiv Gandhi Institute of Technology (RIT), Kottayam",Government,Kottayam,EE,Electrical & Electronics Engineering,
KTE,"Rajiv Gandhi Institute of Technology (RIT), Kottayam",Government,Kottayam,ME,Mechanical Engineering,
PKD,"Government Engineering College, Sreekrishnapuram, Palakkad",Government,Palakkad,CS,Computer Science & Engineering,
PKD,"Government Engineering College, Sreekrishnapuram, Palakkad",Government,Palakkad,EC,Electronics & Communication Engineering,
PKD,"Government Engineering College, Sreekrishnapuram, Palakkad",Government,Palakkad,EE,Electrical & Electronics Engineering,
PKD,"Government Engineering College, Sreekrishnapuram, Palakkad",Government,Palakkad,IT,Information Technology,
PKD,"Government Engineering College, Sreekrishnapuram, Palakkad",Government,Palakkad,ME,Mechanical Engineering,
KWY,"Government Engineering College, Wayanad",Government,Wayanad,CS,Computer Science & Engineering,
KWY,"Government Engineering College, Wayanad",Government,Wayanad,EC,Electronics & Communication Engineering,
KWY,"Government Engineering College, Wayanad",Government,Wayanad,EE,Electrical & Electronics Engineering,
KWY,"Government Engineering College, Wayanad",Government,Wayanad,ME,Mechanical Engineering,
KNK,"Government College of Engineering, Kannur",Government,Kannur,CE,Civil Engineering,
KNK,"Government College of Engineering, Kannur",Government,Kannur,CS,Computer Science & Engineering,
